plant_id,ghgrp_id,plant_name,owner,lat,lon,state,plant_age_years,municipality,address,category_steel_product,steel_products,subregion,subregion_name,co2e_tonnes_per_mwh,region,estimated_emissions_intensity_tonne_per_tonne_scope1,estimated_emissions_intensity_tonne_per_tonne_scope2,emissions_intensity_co2e_tonne_per_tonne,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,scope1_co2e_tonnes_2021,scope2_co2e_tonnes_2021,total_co2e_tonnes_2021,total_tonnes_steel_produced_2021
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,Cleveland-Cliffs Inc,40.845524, -79.921452,Pennsylvania,115.0,Lyndora,"1 Armco Dr, Lyndora, PA 16045-1065, United States",semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,0.505,North East,0.049,0.358,0.407,1000000,19230.769,35074,258480.013,293554.013,721591.624
SUS00007,1003668,Cleveland-Cliffs Coatesville steel plant,Cleveland-Cliffs Inc,39.977819, -75.824512,Pennsylvania,213.0,Coatesville,"139 Modena Road, Coatesville, PA 19230, United States",semi-finished; finished rolled,"steel plate, high-strength low alloy, commercial alloy, military alloy, flame-cut",RFCE,RFC East,0.505,North East,0.259,0.358,0.617,800000,15384.615,149470,206784.01,356254.01,577273.299
SUS00008,1004215,Cleveland-Cliffs Steelton steel plant,Cleveland-Cliffs Inc,40.230720, -76.838506,Pennsylvania,157.0,Steelton,"215 S. Front St., Steelton, PA 17113, United States",semi-finished; finished rolled,"railroad rails, specialty blooms, flat bars",RFCE,RFC East,0.505,North East,0.143,0.358,0.501,1000000,19230.769,102986,258480.013,361466.013,721591.624
SUS00011,1012997,U.S. Steel Big River Steel plant,Big River Steel LLC,35.644264, -89.941659,Arkansas,9.0,Osceola,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",finished rolled,"electrical steel, hot-rolled, hot-rolled pickled and oiled, cold-rolled, cold-rolled motor lamination, galvanized",SRMV,SERC Mississippi Valley,0.481,Southern,0.17,0.341,0.512,3300000,63461.538,527966,1057949.432,1585915.432,3099519.463
SUS00012,1004259,CMC Steel Texas plant,Commercial Metals Co,29.577459, -98.032017,Texas,41.0,Seguin,"1 Steel Mill Dr., Seguin, Texas 78155, United States",finished rolled,equal angles; unequal angles; flats; channels; rebar; rounds,ERCT,ERCOT All,0.571,Southern,0.251,0.405,0.656,943000,18134.615,222320,358823.291,581143.291,885711.166
SUS00013,1003902,Evraz Pueblo steel plant,Evraz North America PLC,38.225770, -104.607895,Colorado,142.0,Pueblo,"2100 South Freeway, Pueblo, Colorado 81004, United States",finished rolled,"rail, wire rod, coiled reinforcing bar, seamless pipe",RMPA,WECC Rockies,0.84,Western,0.261,0.596,0.857,1100000,21153.846,243554,556048.091,799602.091,932702.487
SUS00014,1005344,Gerdau Midlothian Steel Mill,Gerdau Long Steel North America,32.457544, -97.034246,Texas,53.0,Midlothian,"300 Ward Road, 76065 Midlothian, Texas, United States",semi-finished; finished rolled,bantam beams; channels; H piling; MC channels; rail ties; rebar; rounds; S beams; sheet pile; wide flange beams,ERCT,ERCOT All,0.571,Southern,0.163,0.405,0.568,1786000,34346.154,272784,679595.331,952379.331,1677497.506
SUS00015,1000394,Gerdau Petersburg Steel Mill,Gerdau Long Steel North America,37.181168, -77.449517,Virginia,25.0,Petersburg,"25801 Hofheimer Way, Petersburg, Virginia 23805, United States",semi-finished; finished rolled,channels; H piling; MC channels; sheet pile; wide flange beams,SRVC,SERC Virginia/Carolina,0.538,Southern,0.149,0.382,0.531,1000000,19230.769,140045,358983.1,499028.1,939248.325
SUS00016,1005283,SSAB Americas Alabama steel plant,SSAB Americas Holding AB,30.941783, -88.012437,Alabama,22.0,Axis,"12400 Highway 43 North, Axis, Alabama 36505, United States",semi-finished,"heavy plate, coil",SRSO,SERC South,0.542,Southern,0.259,0.385,0.644,1250000,24038.462,303823,452160.573,755983.573,1174060.4
SUS00017,1002147,SSAB Americas Iowa steel plant,SSAB Americas Holding AB,41.482009, -90.820921,Iowa,26.0,Muscatine,"1770 Bill Sharp Boulevard, Muscatine, Iowa 52761, United States",semi-finished,"heavy plate, coil",MROW,MRO West,0.884,Midwest,0.456,0.627,1.083,1250000,24038.462,349496,481340.292,830836.292,767148.489
SUS00018,1013051,JSW Steel USA Ohio plant,Jsw Steel USA Ohio Inc,40.314891, -80.605553,Ohio,5.0,Mingo Junction,"1500 Commercial Avenue, Mingo Junction, Ohio 43938, United States",finished rolled,hot rolled coils,RFCW,RFC West,0.735,North East,0.07,0.522,0.592,1500000,28846.154,75391,565096.038,640487.038,1082387.435
SUS00019,1002977,North American Stainless steel plant,North American Stainless Inc,38.725418, -85.076015,Kentucky,33.0,Ghent,"6870 Highway 42 East, Ghent, Kentucky, 41045-9615, United States",finished rolled,stainless flat and long products,SRTV,SERC Tennessee Valley,0.725,Midwest,0.359,0.515,0.873,1600000,30769.231,352251,505286.632,857537.632,981950.054
SUS00020,1005163,BlueScope North Star Steel plant,North Star BlueScope Steel LLC,41.568783, -84.048129,Ohio,27.0,Delta,"6767 County Road 9, Delta, Ohio 43515, United States",finished rolled,hot-rolled steel coils,RFCM,RFC Michigan,0.744,Great Lakes,0.189,0.529,0.717,2183000,41980.769,303106,849853.499,1152959.499,1607848.918
SUS00021,1002266,Nucor Steel Berkeley plant,Nucor Corp,33.004319, -79.880955,South Carolina,27.0,Huger,"1455 Hagan Avenue, Huger, South Carolina 29450, United States",finished rolled,beam; sheet,SRVC,SERC Virginia/Carolina,0.538,Southern,0.251,0.382,0.633,2956000,56846.154,696472,1061154.044,1757626.044,2776418.037
SUS00022,1004151,Nucor Steel Crawfordsville plant,Nucor Corp,39.976379, -86.830727,Indiana,34.0,Crawfordsville,"4537 South Nucor Road, Crawfordsville, Indiana 47933, United States",finished rolled,sheet,RFCW,RFC West,0.735,Great Lakes,0.209,0.522,0.731,2304000,44307.692,354316,885958.744,1240274.744,1696969.27
SUS00023,1007946,Nucor Steel Darlington plant,Nucor Corp,34.375628, -79.895165,South Carolina,54.0,Darlington,"300 Steel Mill Road, Darlington, South Carolina 29540, United States",finished rolled,bar; engineered bar; cold finish,SRVC,SERC Virginia/Carolina,0.538,Southern,0.21,0.382,0.593,907000,17442.308,179163,325597.672,504760.672,851898.227
SUS00024,1002958,Nucor Steel Hertford plant,Nucor Corp,36.353006, -76.811471,North Carolina,23.0,Cofield,"1505 River Road, Cofield, North Carolina 27922, United States",semi-finished,plate,SRVC,SERC Virginia/Carolina,0.538,Southern,0.16,0.382,0.542,1542000,29653.846,231434,553551.941,784985.941,1448320.91
SUS00025,1007642,Nucor Steel Hickman plant,Nucor Corp,35.901162, -89.776190,Arkansas,31.0,Armorel,"5929 East State Highway 18, Armorel, Arkansas 72315, United States",finished rolled,sheet,SRMV,SERC Mississippi Valley,0.481,Southern,0.197,0.341,0.539,2450000,47115.385,454106,785447.306,1239553.306,2301158.391
SUS00026,1007695,Nucor Steel Norfolk plant,Nucor Corp,42.078908, -97.360854,Nebraska,44.0,Norfolk,"2911 East Nucor Road, Norfolk, Nebraska 68701, United States",finished rolled,bar; engineered bar,MROW,MRO West,0.884,Midwest,0.296,0.627,0.923,1134000,21807.692,205786,436671.913,642457.913,695957.104
SUS00027,1003093,Nucor Steel Memphis plant,Nucor Steel Memphis Inc,35.048395, -90.163033,Tennessee,15.0,Memphis,"3601 Paul R. Lowry Road, Memphis, Tennessee 38109, United States",finished rolled,bar; engineered bar,SRTV,SERC Tennessee Valley,0.725,Southern,0.182,0.515,0.697,891000,17134.615,152656,430632.24,583288.24,836870.256
SUS00028,1005976,Nucor Steel Decatur plant,Nucor Steel Decatur LLC,34.639630, -87.085738,Alabama,26.0,Trinity,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",finished rolled,sheet; tubular products,SRTV,SERC Tennessee Valley,0.725,Southern,0.234,0.515,0.748,2268000,43615.385,497720,1096154.792,1593874.792,2130215.191
SUS00029,1005700,Nucor Steel Gallatin plant,Nucor Corp,38.759878, -84.996204,Kentucky,28.0,Ghent,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",finished rolled,hot-rolled coils,SRTV,SERC Tennessee Valley,0.725,Midwest,0.246,0.515,0.76,1452000,27923.077,219010,458547.619,677557.619,891119.676
SUS00030,1002621,Nucor Steel Kankakee plant,Nucor Steel Kankakee Inc,41.180734, -87.856196,Illinois,62.0,Bourbonnais,"One Nucor Way, Bourbonnais, Illinois 60914, United States",finished rolled,bar; grating,RFCW,RFC West,0.735,Great Lakes,0.193,0.522,0.715,794000,15269.231,112761,305317.379,418078.379,584806.25
