plant_id,ghgrp_id,plant_name,lat,lon,address,state,municipality,subregion,subregion_name,region,eaf_capacity_tonnes_of_steel_per_year,co2e_tonnes_per_mwh,co2e_tonnes_2021,scope1_co2e_tonnes_2021,scope2_co2e_tonnes_2021
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",New Jersey,Sayreville,RFCE,RFC East,North East,653000,0.505,235885.353,66529,169356.353
SUS00008,1004215,Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,"215 S. Front St., Steelton, PA 17113, United States",Pennsylvania,Steelton,RFCE,RFC East,North East,1000000,0.505,362337.23,102986,259351.23
SUS00055,1000714,Steel Dynamics Roanoke steel plant,37.272927, -79.998828,"102 Westside Blvd, Roanoke, VA 24017",Virginia,Roanoke,RFCW,RFC West,Southern,660000,0.735,426060.711,100256,325804.711
SUS00024,1002958,Nucor Steel Hertford plant,36.353006, -76.811471,"1505 River Road, Cofield, North Carolina 27922, United States",North Carolina,Cofield,SRVC,SERC Virginia/Carolina,Southern,1542000,0.538,788686.279,231434,557252.279
SUS00076,1005346,CMC South Carolina steel plant,33.962272, -81.052011,"310 New State Rd., Cayce, SC 29033, United States",South Carolina,Cayce,SRVC,SERC Virginia/Carolina,Southern,776000,0.538,384804.053,104371,280433.053
SUS00021,1002266,Nucor Steel Berkeley plant,33.004319, -79.880955,"1455 Hagan Avenue, Huger, South Carolina 29450, United States",South Carolina,Huger,SRVC,SERC Virginia/Carolina,Southern,2956000,0.538,1764719.559,696472,1068247.559
SUS00023,1007946,Nucor Steel Darlington plant,34.375628, -79.895165,"300 Steel Mill Road, Darlington, South Carolina 29540, United States",South Carolina,Darlington,SRVC,SERC Virginia/Carolina,Southern,907000,0.538,506937.2,179163,327774.2
SUS00063,1001103,Gerdau Cartersville steel plant,34.241226, -84.799539,"384 Old Grassdale Rd NE, Cartersville, GA 30121, United States",Georgia,Cartersville,SRSO,SERC South,Southern,908000,0.542,420773.032,90128,330645.032
SUS00073,1002216,CMC Steel Florida plant,30.282907, -81.978735,"16770 Rebar Road, Jacksonville, FL 32234, United States",Florida,Jacksonville,FRCC,FRCC All,Southern,949000,0.449,382485.98,96234,286251.98
SUS00048,1000159,U.S. Steel Fairfield plant,33.480697, -86.937854,"5700 Valley Road, Fairfield, Alabama 35064, United States",Alabama,Fairfield,SRSO,SERC South,Southern,1600000,0.542,767330.418,184696,582634.418
SUS00075,1003981,CMC Alabama steel plant,33.534372, -86.75773,"101 South 50th St., Birmingham, AL 35212, United States",Alabama,Birmingham,SRSO,SERC South,Southern,653000,0.542,348851.672,111064,237787.672
