plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,scope1_tonnes_of_co2e_per_week,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,0.505,0.358,1000000,19230.769,674.5,NA,5234.817,5482.998,5420.952,5482.998,5545.043,5451.975,5762.201,5824.246,5607.088,5451.975,5762.201,5824.246,5638.11,5327.885,5358.907,5203.795,5234.817,4986.637,5110.727,5358.907,4893.569,5141.749,4986.637,5203.795,5296.862,5514.02,5576.065,5545.043,5296.862,5389.93,6165.494,6072.426,6134.471,6010.381,6165.494,6289.584,6227.539,6134.471,6196.517,6134.471,6165.494,6103.449,5948.336,5762.201,5917.314,5824.246,6258.562,6351.629
SUS00007,1003668,Cleveland-Cliffs Coatesville steel plant,39.977819, -75.824512,"139 Modena Road, Coatesville, PA 19230, United States",Cleveland-Cliffs Inc,Pennsylvania,213.0,Coatesville,semi-finished; finished rolled,"steel plate, high-strength low alloy, commercial alloy, military alloy, flame-cut",RFCE,RFC East,North East,0.505,0.358,800000,15384.615,2874.423,NA,6522.677,6721.221,6671.585,6721.221,6770.857,6696.403,6944.584,6994.22,6820.493,6696.403,6944.584,6994.22,6845.311,6597.131,6621.949,6497.859,6522.677,6324.132,6423.405,6621.949,6249.678,6448.223,6324.132,6497.859,6572.313,6746.039,6795.675,6770.857,6572.313,6646.767,7267.218,7192.764,7242.4,7143.128,7267.218,7366.491,7316.854,7242.4,7292.036,7242.4,7267.218,7217.582,7093.492,6944.584,7068.674,6994.22,7341.672,7416.127
SUS00008,NA,Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,"215 S. Front St., Steelton, PA 17113, United States",Cleveland-Cliffs Inc,Pennsylvania,157.0,Steelton,semi-finished; finished rolled,"railroad rails, specialty blooms, flat bars",RFCE,RFC East,North East,0.505,0.358,1000000,19230.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00011,NA,U.S. Steel Big River Steel plant,35.644264, -89.941659,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",Big River Steel LLC,Arkansas,9.0,Osceola,finished rolled,"electrical steel, hot-rolled, hot-rolled pickled and oiled, cold-rolled, cold-rolled motor lamination, galvanized",SRMV,SERC Mississippi Valley,Southern,0.481,0.341,3300000,63461.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00012,NA,CMC Steel Texas plant,29.577459, -98.032017,"1 Steel Mill Dr., Seguin, Texas 78155, United States",Commercial Metals Co,Texas,41.0,Seguin,finished rolled,equal angles; unequal angles; flats; channels; rebar; rounds,ERCT,ERCOT All,Southern,0.571,0.405,943000,18134.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00013,NA,Evraz Pueblo steel plant,38.225770, -104.607895,"2100 South Freeway, Pueblo, Colorado 81004, United States",Evraz North America PLC,Colorado,142.0,Pueblo,finished rolled,"rail, wire rod, coiled reinforcing bar, seamless pipe",RMPA,WECC Rockies,Western,0.84,0.596,1100000,21153.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00014,NA,Gerdau Midlothian Steel Mill,32.457544, -97.034246,"300 Ward Road, 76065 Midlothian, Texas, United States",Gerdau Long Steel North America,Texas,53.0,Midlothian,semi-finished; finished rolled,bantam beams; channels; H piling; MC channels; rail ties; rebar; rounds; S beams; sheet pile; wide flange beams,ERCT,ERCOT All,Southern,0.571,0.405,1786000,34346.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00015,1000394,Gerdau Petersburg Steel Mill,37.181168, -77.449517,"25801 Hofheimer Way, Petersburg, Virginia 23805, United States",Gerdau Long Steel North America,Virginia,25.0,Petersburg,semi-finished; finished rolled,channels; H piling; MC channels; sheet pile; wide flange beams,SRVC,SERC Virginia/Carolina,Southern,0.538,0.382,1000000,19230.769,2693.173,NA,9124.674,9279.102,9052.001,9188.262,9415.363,9369.943,9270.018,9161.01,9433.531,9415.363,9478.951,9451.699,9560.707,9533.455,9660.632,9615.212,9896.817,9842.313,9905.901,9805.977,9824.145,9706.052,9996.741,9987.657,9978.573,10096.666,9978.573,9951.321,10096.666,10060.33,9696.968,9833.229,9742.388,9833.229,9724.22,9669.716,9851.397,9796.893,9787.808,9742.388,9796.893,9842.313,9669.716,9488.035,9451.699,9460.783,9215.514,9115.589
SUS00016,NA,SSAB Americas Alabama steel plant,30.941783, -88.012437,"12400 Highway 43 North, Axis, Alabama 36505, United States",SSAB Americas Holding AB,Alabama,22.0,Axis,semi-finished,"heavy plate, coil",SRSO,SERC South,Southern,0.542,0.385,1250000,24038.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUS00017,NA,SSAB Americas Iowa steel plant,41.482009, -90.820921,"1770 Bill Sharp Boulevard, Muscatine, Iowa 52761, United States",SSAB Americas Holding AB,Iowa,26.0,Muscatine,semi-finished,"heavy plate, coil",MROW,MRO West,Midwest,0.884,0.627,1250000,24038.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
