plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,week_end_date,utilization,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,scope2_co2e_tonnes_per_week,scope1_tonnes_of_co2e_per_week,total_weekly_co2e_tonnes
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-01-30T00:00:00Z,NA,0.505,0.358,1000000,19230.769,NA,674.5,NA
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-02-06T00:00:00Z,0.662,0.505,0.358,1000000,19230.769,4560.317,674.5,5234.817
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-02-13T00:00:00Z,0.698,0.505,0.358,1000000,19230.769,4808.498,674.5,5482.998
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-02-20T00:00:00Z,0.689,0.505,0.358,1000000,19230.769,4746.452,674.5,5420.952
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-02-27T00:00:00Z,0.698,0.505,0.358,1000000,19230.769,4808.498,674.5,5482.998
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-03-06T00:00:00Z,0.707,0.505,0.358,1000000,19230.769,4870.543,674.5,5545.043
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-03-13T00:00:00Z,0.694,0.505,0.358,1000000,19230.769,4777.475,674.5,5451.975
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-03-20T00:00:00Z,0.739,0.505,0.358,1000000,19230.769,5087.701,674.5,5762.201
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-03-27T00:00:00Z,0.748,0.505,0.358,1000000,19230.769,5149.746,674.5,5824.246
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-04-03T00:00:00Z,0.716,0.505,0.358,1000000,19230.769,4932.588,674.5,5607.088
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-04-10T00:00:00Z,0.694,0.505,0.358,1000000,19230.769,4777.475,674.5,5451.975
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-04-17T00:00:00Z,0.739,0.505,0.358,1000000,19230.769,5087.701,674.5,5762.201
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-04-24T00:00:00Z,0.748,0.505,0.358,1000000,19230.769,5149.746,674.5,5824.246
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-05-01T00:00:00Z,0.721,0.505,0.358,1000000,19230.769,4963.61,674.5,5638.11
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-05-08T00:00:00Z,0.676,0.505,0.358,1000000,19230.769,4653.385,674.5,5327.885
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-05-15T00:00:00Z,0.68,0.505,0.358,1000000,19230.769,4684.407,674.5,5358.907
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,2021-05-22T00:00:00Z,0.658,0.505,0.358,1000000,19230.769,4529.295,674.5,5203.795
