plant_id,ghgrp_id,plant_name,lat,lon,address,owner,state,plant_age_years,municipality,category_steel_product,steel_products,subregion,subregion_name,region,co2e_tonnes_per_mwh,estimated_emissions_intensity_tonne_per_tonne_scope2,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",Cleveland-Cliffs Inc,Pennsylvania,115.0,Lyndora,semi-finished; finished rolled,"flat-rolled electrical steels, stainless steels, stainless and carbon semi-finished
slabs",RFCE,RFC East,North East,0.505,0.358,1000000,19230.769,NA,4560.317,4808.498,4746.452,4808.498,4870.543,4777.475,5087.701,5149.746,4932.588,4777.475,5087.701,5149.746,4963.61,4653.385,4684.407,4529.295,4560.317,4312.137,4436.227,4684.407,4219.069,4467.249,4312.137,4529.295,4622.362,4839.52,4901.565,4870.543,4622.362,4715.43,5490.994,5397.926,5459.971,5335.881,5490.994,5615.084,5553.039,5459.971,5522.017,5459.971,5490.994,5428.949,5273.836,5087.701,5242.814,5149.746,5584.062,5677.129
SUS00007,1003668,Cleveland-Cliffs Coatesville steel plant,39.977819, -75.824512,"139 Modena Road, Coatesville, PA 19230, United States",Cleveland-Cliffs Inc,Pennsylvania,213.0,Coatesville,semi-finished; finished rolled,"steel plate, high-strength low alloy, commercial alloy, military alloy, flame-cut",RFCE,RFC East,North East,0.505,0.358,800000,15384.615,NA,3648.254,3846.798,3797.162,3846.798,3896.434,3821.98,4070.161,4119.797,3946.07,3821.98,4070.161,4119.797,3970.888,3722.708,3747.526,3623.436,3648.254,3449.709,3548.981,3747.526,3375.255,3573.8,3449.709,3623.436,3697.89,3871.616,3921.252,3896.434,3697.89,3772.344,4392.795,4318.341,4367.977,4268.705,4392.795,4492.067,4442.431,4367.977,4417.613,4367.977,4392.795,4343.159,4219.069,4070.161,4194.251,4119.797,4467.249,4541.704
SUS00008,NA,Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,"215 S. Front St., Steelton, PA 17113, United States",Cleveland-Cliffs Inc,Pennsylvania,157.0,Steelton,semi-finished; finished rolled,"railroad rails, specialty blooms, flat bars",RFCE,RFC East,North East,0.505,0.358,1000000,19230.769,NA,4560.317,4808.498,4746.452,4808.498,4870.543,4777.475,5087.701,5149.746,4932.588,4777.475,5087.701,5149.746,4963.61,4653.385,4684.407,4529.295,4560.317,4312.137,4436.227,4684.407,4219.069,4467.249,4312.137,4529.295,4622.362,4839.52,4901.565,4870.543,4622.362,4715.43,5490.994,5397.926,5459.971,5335.881,5490.994,5615.084,5553.039,5459.971,5522.017,5459.971,5490.994,5428.949,5273.836,5087.701,5242.814,5149.746,5584.062,5677.129
SUS00011,NA,U.S. Steel Big River Steel plant,35.644264, -89.941659,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",Big River Steel LLC,Arkansas,9.0,Osceola,finished rolled,"electrical steel, hot-rolled, hot-rolled pickled and oiled, cold-rolled, cold-rolled motor lamination, galvanized",SRMV,SERC Mississippi Valley,Southern,0.481,0.341,3300000,63461.538,NA,18954.102,19409.214,18739.931,19141.501,19810.784,19676.928,19382.443,19061.187,19864.327,19810.784,19998.184,19917.87,20239.126,20158.812,20533.61,20399.754,21229.665,21069.037,21256.436,20961.952,21015.494,20667.467,21524.15,21497.378,21470.607,21818.634,21470.607,21390.293,21818.634,21711.549,20640.696,21042.266,20774.552,21042.266,20721.01,20560.382,21095.808,20935.18,20908.409,20774.552,20935.18,21069.037,20560.382,20024.955,19917.87,19944.641,19221.815,18927.331
SUS00012,NA,CMC Steel Texas plant,29.577459, -98.032017,"1 Steel Mill Dr., Seguin, Texas 78155, United States",Commercial Metals Co,Texas,41.0,Seguin,finished rolled,equal angles; unequal angles; flats; channels; rebar; rounds,ERCT,ERCOT All,Southern,0.571,0.405,943000,18134.615,NA,6428.637,6582.997,6355.997,6492.197,6719.197,6673.797,6573.917,6464.957,6737.357,6719.197,6782.757,6755.517,6864.477,6837.237,6964.357,6918.957,7200.437,7145.957,7209.517,7109.637,7127.797,7009.757,7300.317,7291.237,7282.157,7400.197,7282.157,7254.917,7400.197,7363.877,7000.677,7136.877,7046.077,7136.877,7027.917,6973.437,7155.037,7100.557,7091.477,7046.077,7100.557,7145.957,6973.437,6791.837,6755.517,6764.597,6519.437,6419.557
SUS00013,NA,Evraz Pueblo steel plant,38.225770, -104.607895,"2100 South Freeway, Pueblo, Colorado 81004, United States",Evraz North America PLC,Colorado,142.0,Pueblo,finished rolled,"rail, wire rod, coiled reinforcing bar, seamless pipe",RMPA,WECC Rockies,Western,0.84,0.596,1100000,21153.846,NA,9970.717,10837.736,10404.226,10693.233,10115.22,9103.698,8814.692,10982.239,10259.723,9970.717,10548.729,10259.723,10259.723,10982.239,11271.245,11560.251,10693.233,10837.736,10693.233,11126.742,10548.729,10982.239,10982.239,11415.748,10837.736,10693.233,10837.736,10548.729,10982.239,10693.233,10837.736,11560.251,10982.239,10115.22,10982.239,11560.251,11704.755,10982.239,11415.748,11271.245,10837.736,11126.742,10837.736,10982.239,11271.245,10693.233,10115.22,9970.717
SUS00014,NA,Gerdau Midlothian Steel Mill,32.457544, -97.034246,"300 Ward Road, 76065 Midlothian, Texas, United States",Gerdau Long Steel North America,Texas,53.0,Midlothian,semi-finished; finished rolled,bantam beams; channels; H piling; MC channels; rail ties; rebar; rounds; S beams; sheet pile; wide flange beams,ERCT,ERCOT All,Southern,0.571,0.405,1786000,34346.154,NA,12175.553,12467.904,12037.976,12295.933,12725.86,12639.875,12450.707,12244.341,12760.254,12725.86,12846.24,12794.649,13001.014,12949.423,13190.182,13104.197,13637.307,13534.124,13654.504,13465.336,13499.73,13276.168,13826.475,13809.278,13792.081,14015.643,13792.081,13740.49,14015.643,13946.855,13258.971,13516.927,13344.956,13516.927,13310.562,13207.379,13551.321,13448.139,13430.942,13344.956,13448.139,13534.124,13207.379,12863.437,12794.649,12811.846,12347.524,12158.356
SUS00015,1000394,Gerdau Petersburg Steel Mill,37.181168, -77.449517,"25801 Hofheimer Way, Petersburg, Virginia 23805, United States",Gerdau Long Steel North America,Virginia,25.0,Petersburg,semi-finished; finished rolled,channels; H piling; MC channels; sheet pile; wide flange beams,SRVC,SERC Virginia/Carolina,Southern,0.538,0.382,1000000,19230.769,NA,6431.5,6585.929,6358.828,6495.089,6722.19,6676.77,6576.845,6467.837,6740.358,6722.19,6785.778,6758.526,6867.534,6840.282,6967.459,6922.039,7203.644,7149.14,7212.728,7112.803,7130.972,7012.879,7303.568,7294.484,7285.4,7403.493,7285.4,7258.148,7403.493,7367.157,7003.795,7140.056,7049.215,7140.056,7031.047,6976.543,7158.224,7103.719,7094.635,7049.215,7103.719,7149.14,6976.543,6794.862,6758.526,6767.61,6522.341,6422.416
SUS00016,NA,SSAB Americas Alabama steel plant,30.941783, -88.012437,"12400 Highway 43 North, Axis, Alabama 36505, United States",SSAB Americas Holding AB,Alabama,22.0,Axis,semi-finished,"heavy plate, coil",SRSO,SERC South,Southern,0.542,0.385,1250000,24038.462,NA,8100.857,8295.37,8009.322,8180.951,8466.998,8409.788,8283.928,8146.625,8489.882,8466.998,8547.091,8512.765,8650.068,8615.742,8775.929,8718.719,9073.418,9004.767,9084.86,8958.999,8981.883,8833.138,9199.279,9187.837,9176.395,9325.14,9176.395,9142.069,9325.14,9279.372,8821.696,8993.325,8878.906,8993.325,8856.022,8787.371,9016.209,8947.557,8936.115,8878.906,8947.557,9004.767,8787.371,8558.533,8512.765,8524.207,8215.276,8089.416
SUS00017,NA,SSAB Americas Iowa steel plant,41.482009, -90.820921,"1770 Bill Sharp Boulevard, Muscatine, Iowa 52761, United States",SSAB Americas Holding AB,Iowa,26.0,Muscatine,semi-finished,"heavy plate, coil",MROW,MRO West,Midwest,0.884,0.627,1250000,24038.462,NA,8724.622,9060.185,8772.56,8676.685,8580.81,8724.622,8820.497,9060.185,8820.497,8389.06,8772.56,9060.185,8868.435,8628.747,8964.31,8820.497,8964.31,9251.935,9395.747,9299.872,9395.747,9683.372,9156.06,9539.56,9587.497,9539.56,9395.747,9683.372,9635.435,9491.622,9251.935,9779.247,9827.185,9683.372,9395.747,9156.06,9347.81,9635.435,9779.247,9539.56,9731.31,9827.185,9539.56,9635.435,9875.122,9635.435,9491.622,9443.685
