plant_id,plant_name,owner,lat,lon,state,plant_age_years,municipality,address,category_steel_product,steel_products,subregion,subregion_name,co2e_tonnes_per_mwh,region,estimated_emissions_intensity_tonne_per_tonne,max_tonnes_of_steel_producible_annually,max_tonnes_of_steel_producible_weekly,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SUS00016,SSAB Americas Alabama steel plant,SSAB Americas Holding AB,30.941783, -88.012437,Alabama,22.0,Axis,"12400 Highway 43 North, Axis, Alabama 36505, United States",semi-finished,"heavy plate, coil",SRSO,SERC South,0.542,Southern,0.385,1250000,24038.462,20766.947,20648.109,20558.981,21093.752,21034.333,21539.394,20796.657,21242.299,21985.037,21836.49,21509.685,21153.171,22044.456,21985.037,22193.004,22103.875,22460.389,22371.261,22787.194,22638.646,23559.641,23381.384,23589.351,23262.546,23321.965,22935.741,23886.446,23856.736,23827.027,24213.25,23827.027,23737.898,24213.25,24094.412,22906.032,23351.675,23054.579,23351.675,22995.16,22816.903,23411.094,23232.837,23203.127,23054.579,23232.837,23381.384,22816.903,22222.713,22103.875,22133.585,21331.428,21004.623
SUS00075,CMC Alabama steel plant,Commercial Metals Co,33.534372, -86.75773,Alabama,29.0,Birmingham,"101 South 50th St., Birmingham, AL 35212, United States",finished rolled,equal angles; unequal angles; flats; channels,SRSO,SERC South,0.542,Southern,0.385,653000,12557.692,10848.653,10786.572,10740.012,11019.376,10988.335,11252.18,10864.173,11096.977,11484.983,11407.382,11236.659,11050.416,11516.024,11484.983,11593.625,11547.064,11733.307,11686.747,11904.03,11826.429,12307.557,12214.435,12323.077,12152.354,12183.395,11981.631,12478.279,12462.759,12447.239,12649.002,12447.239,12400.678,12649.002,12586.921,11966.111,12198.915,12043.712,12198.915,12012.672,11919.55,12229.955,12136.834,12121.314,12043.712,12136.834,12214.435,11919.55,11609.145,11547.064,11562.585,11143.538,10972.815
SUS00037,Outokumpu Stainless USA steel plant,Outokumpu Stainless Usa LLC,31.148179, -87.988660,Alabama,16.0,Calvert,"1 Steel Dr., Calvert, Alabama, 36513-1300, United States",crude; semi-finished; finished rolled,"stainless, hot-rolled coil, cold-rolled coil, sheet",SRSO,SERC South,0.542,Southern,0.385,1000000,19230.769,16613.558,16518.487,16447.185,16875.001,16827.466,17231.516,16637.325,16993.84,17588.03,17469.192,17207.748,16922.537,17635.565,17588.03,17754.403,17683.1,17968.311,17897.009,18229.755,18110.917,18847.713,18705.107,18871.481,18610.037,18657.572,18348.593,19109.157,19085.389,19061.621,19370.6,19061.621,18990.319,19370.6,19275.53,18324.826,18681.34,18443.664,18681.34,18396.128,18253.523,18728.875,18586.269,18562.502,18443.664,18586.269,18705.107,18253.523,17778.171,17683.1,17706.868,17065.142,16803.699
SUS00048,U.S. Steel Fairfield plant,United States Steel Corp,33.480697, -86.937854,Alabama,3.0,Fairfield,"5700 Valley Road, Fairfield, Alabama 35064, United States",semi-finished; finished rolled,"pipe, flat-rolled products, tubular products",SRSO,SERC South,0.542,Southern,0.385,1600000,30769.231,26581.692,26429.58,26315.495,27000.002,26923.946,27570.425,26619.721,27190.143,28140.848,27950.707,27532.397,27076.059,28216.904,28140.848,28407.045,28292.96,28749.298,28635.214,29167.608,28977.467,30156.341,29928.172,30194.369,29776.059,29852.115,29357.749,30574.651,30536.622,30498.594,30992.96,30498.594,30384.51,30992.96,30840.848,29319.721,29890.143,29509.862,29890.143,29433.805,29205.636,29966.2,29738.031,29700.003,29509.862,29738.031,29928.172,29205.636,28445.073,28292.96,28330.988,27304.228,26885.918
SUS00028,Nucor Steel Decatur plant,Nucor Steel Decatur LLC,34.639630, -87.085738,Alabama,26.0,Trinity,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",finished rolled,sheet; tubular products,SRTV,SERC Tennessee Valley,0.725,Southern,0.515,2268000,43615.385,37679.549,37463.929,37302.215,38272.503,38164.693,39081.077,37733.454,38542.028,39889.651,39620.127,39027.172,38380.313,39997.461,39889.651,40266.986,40105.271,40752.13,40590.416,41345.085,41075.56,42746.613,42423.183,42800.518,42207.564,42315.373,41614.609,43339.567,43285.662,43231.757,43932.521,43231.757,43070.043,43932.521,43716.902,41560.704,42369.278,41830.229,42369.278,41722.419,41398.99,42477.088,42153.659,42099.754,41830.229,42153.659,42423.183,41398.99,40320.891,40105.271,40159.176,38703.743,38110.789
SUS00033,Nucor Steel Tuscaloosa plant,Nucor Steel Tuscaloosa Inc,33.234761, -87.508498,Alabama,38.0,Tuscaloosa,"1700 Holt Road, Tuscaloosa, Alabama 35404, United States",semi-finished; finished rolled,bar; plate; sheet; tubular products,SRSO,SERC South,0.542,Southern,0.385,1200000,23076.923,19936.269,19822.185,19736.621,20250.002,20192.96,20677.819,19964.79,20392.607,21105.636,20963.03,20649.298,20307.044,21162.678,21105.636,21305.284,21219.72,21561.974,21476.41,21875.706,21733.1,22617.256,22446.129,22645.777,22332.044,22389.086,22018.312,22930.988,22902.467,22873.946,23244.72,22873.946,22788.382,23244.72,23130.636,21989.791,22417.608,22132.396,22417.608,22075.354,21904.227,22474.65,22303.523,22275.002,22132.396,22303.523,22446.129,21904.227,21333.805,21219.72,21248.241,20478.171,20164.438
SUS00078,CMC Arizona steel plant,Commercial Metals Co,33.285828, -111.586561,Arizona,14.0,Mesa,"11444 East Germann Rd., Mesa, AZ 85212, United States",finished rolled,rebar,AZNM,WECC Southwest,0.591,Western,0.42,354000,6807.692,5460.302,5616.311,5382.298,5616.311,5382.298,5850.324,5616.311,5772.32,5460.302,4914.272,4758.263,5928.328,5538.307,5382.298,5694.315,5538.307,5538.307,5928.328,6084.337,6240.345,5772.32,5850.324,5772.32,6006.333,5694.315,5928.328,5928.328,6162.341,5850.324,5772.32,5850.324,5694.315,5928.328,5772.32,5850.324,6240.345,5928.328,5460.302,5928.328,6240.345,6318.35,5928.328,6162.341,6084.337,5850.324,6006.333,5850.324,5928.328,6084.337,5772.32,5460.302,5382.298
SUS00025,Nucor Steel Hickman plant,Nucor Corp,35.901162, -89.776190,Arkansas,31.0,Armorel,"5929 East State Highway 18, Armorel, Arkansas 72315, United States",finished rolled,sheet,SRMV,SERC Mississippi Valley,0.481,Southern,0.341,2450000,47115.385,40703.217,40470.294,40295.602,41343.754,41227.292,42217.213,40761.447,41634.907,43090.673,42799.52,42158.983,41460.215,43207.134,43090.673,43498.287,43323.595,44022.363,43847.671,44662.9,44371.747,46176.897,45827.513,46235.127,45594.59,45711.052,44954.053,46817.434,46759.203,46700.972,47457.971,46700.972,46526.28,47457.971,47225.048,44895.823,45769.282,45186.976,45769.282,45070.515,44721.131,45885.743,45536.36,45478.129,45186.976,45536.36,45827.513,44721.131,43556.518,43323.595,43381.826,41809.599,41169.062
SUS00032,Nucor-Yamato Steel Blytheville plant,Nucor Yamato Steel Co,35.941421, -89.713819,Arkansas,35.0,Blytheville,"7301 East County Road 142, Blytheville, Arkansas 72315, United States",finished rolled,beam,SRTV,SERC Tennessee Valley,0.725,Southern,0.515,2632000,50615.385,43726.884,43476.659,43288.99,44415.004,44289.891,45353.349,43789.44,44727.786,46291.694,45978.912,45290.793,44540.117,46416.807,46291.694,46729.589,46541.92,47292.596,47104.927,47980.715,47667.934,49607.18,49231.842,49669.737,48981.617,49106.73,48293.497,50295.3,50232.744,50170.187,50983.42,50170.187,49982.518,50983.42,50733.195,48230.941,49169.286,48543.723,49169.286,48418.61,48043.272,49294.399,48919.061,48856.504,48543.723,48919.061,49231.842,48043.272,46792.145,46541.92,46604.476,44915.455,44227.335
SUS00066,Gerdau Fort Smith steel plant,Gerdau Steel North America Inc,35.307055, -94.372912,Arkansas,39.0,Fort Smith,"5225 Planters Rd, Fort Smith, AR 72916, United States",semi-finished; finished rolled,unknown,SRMV,SERC Mississippi Valley,0.481,Southern,0.341,550000,10576.923,9137.457,9085.168,9045.951,9281.251,9255.106,9477.334,9150.529,9346.612,9673.416,9608.055,9464.261,9307.395,9699.561,9673.416,9764.922,9725.705,9882.571,9843.355,10026.365,9961.004,10366.242,10287.809,10379.314,10235.52,10261.665,10091.726,10510.036,10496.964,10483.892,10653.83,10483.892,10444.675,10653.83,10601.541,10078.654,10274.737,10144.015,10274.737,10117.871,10039.437,10300.881,10222.448,10209.376,10144.015,10222.448,10287.809,10039.437,9777.994,9725.705,9738.777,9385.828,9242.034
