plant_name,lat,lon,state,eaf_capacity,municipality,subregion,subregion_name,co2e_lb_per_mwh,region,emissions_intensity_co2e_lb_per_tonne,eaf_capacity_tonnes_of_steel_per_week,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01
SSAB Americas Alabama steel plant,30.941783, -88.012437,Alabama,1250,Axis,SRSO,SERC South,1195.85,Southern,849.06,24038.46,8100.86,8295.37,8009.32,8180.95,8467,8409.79,8283.93,8146.63,8489.88,8467,8547.09,8512.77,8650.07,8615.74,8775.93,8718.72,9073.42,9004.77,9084.86,8959,8981.88,8833.14,9199.28,9187.84,9176.4,9325.14,9176.4,9142.07,9325.14,9279.37,8821.7,8993.32,8878.91,8993.32,8856.02,8787.37,9016.21,8947.56,8936.12,8878.91,8947.56,9004.77,8787.37,8558.53,8512.77,8524.21,8215.28,8089.42
CMC Alabama steel plant,33.534372, -86.75773,Alabama,653,Birmingham,SRSO,SERC South,1195.85,Southern,849.06,12557.69,4231.89,4333.5,4184.07,4273.73,4423.16,4393.27,4327.52,4255.8,4435.11,4423.16,4465,4447.07,4518.8,4500.86,4584.55,4554.66,4739.95,4704.09,4745.93,4680.18,4692.14,4614.43,4805.7,4799.73,4793.75,4871.45,4793.75,4775.82,4871.45,4847.54,4608.45,4698.11,4638.34,4698.11,4626.39,4590.52,4710.07,4674.2,4668.23,4638.34,4674.2,4704.09,4590.52,4470.98,4447.07,4453.05,4291.66,4225.91
Outokumpu Stainless USA steel plant,31.148179, -87.988660,Alabama,1000,Calvert,SRSO,SERC South,1195.85,Southern,849.06,19230.77,6480.69,6636.3,6407.46,6544.76,6773.6,6727.83,6627.14,6517.3,6791.91,6773.6,6837.67,6810.21,6920.05,6892.59,7020.74,6974.98,7258.73,7203.81,7267.89,7167.2,7185.51,7066.51,7359.42,7350.27,7341.12,7460.11,7341.12,7313.66,7460.11,7423.5,7057.36,7194.66,7103.12,7194.66,7084.82,7029.9,7212.97,7158.05,7148.89,7103.12,7158.05,7203.81,7029.9,6846.83,6810.21,6819.37,6572.22,6471.53
U.S. Steel Fairfield plant,33.480697, -86.937854,Alabama,1600,Fairfield,SRSO,SERC South,1195.85,Southern,849.06,30769.23,10369.1,10618.07,10251.93,10471.62,10837.76,10764.53,10603.43,10427.68,10867.05,10837.76,10940.28,10896.34,11072.09,11028.15,11233.19,11159.96,11613.98,11526.1,11628.62,11467.52,11496.81,11306.42,11775.08,11760.43,11745.79,11936.18,11745.79,11701.85,11936.18,11877.6,11291.77,11511.46,11365,11511.46,11335.71,11247.83,11540.75,11452.87,11438.23,11365,11452.87,11526.1,11247.83,10954.92,10896.34,10910.99,10515.55,10354.45
Nucor Steel Decatur plant,34.639630, -87.085738,Alabama,2268,Trinity,SRTV,SERC Tennessee Valley,1597.81,Southern,1134.44,43615.38,19638.58,20110.13,19416.68,19832.75,20526.2,20387.51,20082.39,19749.54,20581.68,20526.2,20720.37,20637.16,20970.01,20886.8,21275.13,21136.44,21996.32,21829.9,22024.06,21718.94,21774.42,21413.82,22301.44,22273.71,22245.97,22606.56,22245.97,22162.75,22606.56,22495.61,21386.09,21802.16,21524.78,21802.16,21469.3,21302.87,21857.63,21691.21,21663.47,21524.78,21691.21,21829.9,21302.87,20748.11,20637.16,20664.89,19915.97,19610.85
Nucor Steel Tuscaloosa plant,33.234761, -87.508498,Alabama,1200,Tuscaloosa,SRSO,SERC South,1195.85,Southern,849.06,23076.92,7776.82,7963.55,7688.95,7853.71,8128.32,8073.4,7952.57,7820.76,8150.29,8128.32,8205.21,8172.25,8304.07,8271.11,8424.89,8369.97,8710.48,8644.58,8721.47,8600.64,8622.61,8479.81,8831.31,8820.32,8809.34,8952.13,8809.34,8776.39,8952.13,8908.2,8468.83,8633.59,8523.75,8633.59,8501.78,8435.88,8655.56,8589.65,8578.67,8523.75,8589.65,8644.58,8435.88,8216.19,8172.25,8183.24,7886.67,7765.84
CMC Arizona steel plant,33.285828, -111.586561,Arizona,354,Mesa,AZNM,WECC Southwest,1302.81,Western,924.99,6807.69,2258.25,2454.62,2356.44,2421.89,2290.98,2061.88,1996.42,2487.35,2323.71,2258.25,2389.16,2323.71,2323.71,2487.35,2552.81,2618.26,2421.89,2454.62,2421.89,2520.08,2389.16,2487.35,2487.35,2585.53,2454.62,2421.89,2454.62,2389.16,2487.35,2421.89,2454.62,2618.26,2487.35,2290.98,2487.35,2618.26,2650.99,2487.35,2585.53,2552.81,2454.62,2520.08,2454.62,2487.35,2552.81,2421.89,2290.98,2258.25
Nucor Steel Hickman plant,35.901162, -89.776190,Arkansas,2450,Armorel,SRMV,SERC Mississippi Valley,1059.86,Southern,752.5,47115.38,14071.98,14409.87,13912.98,14211.11,14708.01,14608.63,14390,14151.49,14747.76,14708.01,14847.14,14787.51,15026.02,14966.39,15244.65,15145.27,15761.42,15642.16,15781.29,15562.66,15602.41,15344.03,15980.05,15960.17,15940.3,16198.68,15940.3,15880.67,16198.68,16119.18,15324.15,15622.29,15423.53,15622.29,15383.78,15264.53,15662.04,15542.79,15522.91,15423.53,15542.79,15642.16,15264.53,14867.01,14787.51,14807.39,14270.74,14052.11
Nucor-Yamato Steel Blytheville plant,35.941421, -89.713819,Arkansas,2632,Blytheville,SRTV,SERC Tennessee Valley,1597.81,Southern,1134.44,50615.38,22790.46,23337.68,22532.94,23015.79,23820.53,23659.58,23305.49,22919.22,23884.91,23820.53,24045.86,23949.29,24335.57,24239,24689.66,24528.71,25526.6,25333.46,25558.79,25204.7,25269.08,24850.61,25880.69,25848.5,25816.31,26234.78,25816.31,25719.74,26234.78,26106.02,24818.42,25301.27,24979.37,25301.27,24914.99,24721.85,25365.65,25172.51,25140.32,24979.37,25172.51,25333.46,24721.85,24078.05,23949.29,23981.48,23112.36,22758.27
Gerdau Fort Smith steel plant,35.307055, -94.372912,Arkansas,550,Fort Smith,SRMV,SERC Mississippi Valley,1059.86,Southern,752.5,10576.92,3159.02,3234.87,3123.32,3190.25,3301.8,3279.49,3230.41,3176.86,3310.72,3301.8,3333.03,3319.64,3373.19,3359.8,3422.27,3399.96,3538.28,3511.51,3542.74,3493.66,3502.58,3444.58,3587.36,3582.9,3578.43,3636.44,3578.43,3565.05,3636.44,3618.59,3440.12,3507.04,3462.43,3507.04,3453.5,3426.73,3515.97,3489.2,3484.73,3462.43,3489.2,3511.51,3426.73,3337.49,3319.64,3324.11,3203.64,3154.56
U.S. Steel Big River Steel plant,35.644264, -89.941659,Arkansas,3300,Osceola,SRMV,SERC Mississippi Valley,1059.86,Southern,752.5,63461.54,18954.1,19409.21,18739.93,19141.5,19810.78,19676.93,19382.44,19061.19,19864.33,19810.78,19998.18,19917.87,20239.13,20158.81,20533.61,20399.75,21229.66,21069.04,21256.44,20961.95,21015.49,20667.47,21524.15,21497.38,21470.61,21818.63,21470.61,21390.29,21818.63,21711.55,20640.7,21042.27,20774.55,21042.27,20721.01,20560.38,21095.81,20935.18,20908.41,20774.55,20935.18,21069.04,20560.38,20024.96,19917.87,19944.64,19221.82,18927.33
Evraz Pueblo steel plant,38.225770, -104.607895,Colorado,1100,Pueblo,RMPA,WECC Rockies,1851.16,Western,1314.33,21153.85,9970.72,10837.74,10404.23,10693.23,10115.22,9103.7,8814.69,10982.24,10259.72,9970.72,10548.73,10259.72,10259.72,10982.24,11271.25,11560.25,10693.23,10837.74,10693.23,11126.74,10548.73,10982.24,10982.24,11415.75,10837.74,10693.23,10837.74,10548.73,10982.24,10693.23,10837.74,11560.25,10982.24,10115.22,10982.24,11560.25,11704.75,10982.24,11415.75,11271.25,10837.74,11126.74,10837.74,10982.24,11271.25,10693.23,10115.22,9970.72
CMC Steel Florida plant,30.282907, -81.978735,Florida,949,Jacksonville,FRCC,FRCC All,990.57,Southern,703.3,18250,5094.4,5216.73,5036.84,5144.77,5324.66,5288.68,5209.53,5123.19,5339.05,5324.66,5375.03,5353.44,5439.79,5418.2,5518.94,5482.96,5706.02,5662.85,5713.22,5634.06,5648.46,5554.91,5785.17,5777.97,5770.78,5864.32,5770.78,5749.19,5864.32,5835.54,5547.72,5655.65,5583.7,5655.65,5569.31,5526.13,5670.04,5626.87,5619.67,5583.7,5626.87,5662.85,5526.13,5382.22,5353.44,5360.64,5166.36,5087.21
Gerdau Cartersville steel plant,34.241226, -84.799539,Georgia,908,Cartersville,SRSO,SERC South,1195.85,Southern,849.06,17461.54,5884.46,6025.76,5817.97,5942.64,6150.43,6108.87,6017.45,5917.71,6167.05,6150.43,6208.61,6183.67,6283.41,6258.48,6374.83,6333.28,6590.93,6541.06,6599.24,6507.82,6524.44,6416.39,6682.36,6674.04,6665.73,6773.78,6665.73,6640.8,6773.78,6740.54,6408.08,6532.75,6449.64,6532.75,6433.01,6383.15,6549.37,6499.51,6491.19,6449.64,6499.51,6541.06,6383.15,6216.92,6183.67,6191.98,5967.58,5876.15
Alton Steel plant,38.884465, -90.14579,Illinois,680.39,Alton,SRMW,SERC Midwest,1969.28,Midwest,1398.19,13084.4,4800.12,4984.74,4826.5,4773.75,4721,4800.12,4852.87,4984.74,4852.87,4615.5,4826.5,4984.74,4879.25,4747.38,4932,4852.87,4932,5090.24,5169.37,5116.62,5169.37,5327.61,5037.49,5248.49,5274.86,5248.49,5169.37,5327.61,5301.24,5222.11,5090.24,5380.36,5406.73,5327.61,5169.37,5037.49,5142.99,5301.24,5380.36,5248.49,5353.99,5406.73,5248.49,5301.24,5433.11,5301.24,5222.11,5195.74
Nucor Steel Kankakee plant,41.180734, -87.856196,Illinois,794,Bourbonnais,RFCW,RFC West,1621.12,Great Lakes,1151,15269.23,5613.24,5613.24,5969.34,5847.52,5706.95,5875.63,5810.04,5781.92,5716.33,5838.15,5650.73,5725.7,5772.55,5763.18,5772.55,5819.41,5950.6,6053.68,5875.63,5941.23,6044.31,6072.42,6016.2,5922.49,6016.2,5922.49,6006.83,5978.71,5959.97,5978.71,6091.17,5978.71,6006.83,6091.17,6081.8,5978.71,5988.09,5950.6,5791.29,5735.07,5800.66,5781.92,5856.89,5791.29,5819.41,5800.66,5959.97,5894.37
Finkl Steel Chicago plant,41.724915, -87.589968,Illinois,573,Chicago,RFCW,RFC West,1621.12,Great Lakes,1151,11019.23,4050.87,4050.87,4307.85,4219.94,4118.49,4240.22,4192.88,4172.6,4125.26,4213.17,4077.92,4132.02,4165.83,4159.07,4165.83,4199.65,4294.33,4368.72,4240.22,4287.56,4361.95,4382.24,4341.66,4274.04,4341.66,4274.04,4334.9,4314.61,4301.09,4314.61,4395.77,4314.61,4334.9,4395.77,4389,4314.61,4321.38,4294.33,4179.36,4138.78,4186.12,4172.6,4226.7,4179.36,4199.65,4186.12,4301.09,4253.75
