plant_id,ghgrp_id,plant_name,lat,lon,address,state,municipality,subregion,subregion_name,region,eaf_capacity,co2e_tonnes_per_mwh,emissions_intensity_co2e_tonne_per_tonne,eaf_capacity_tonnes_of_steel_per_week,scope1_weekly,NA
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",New Jersey,Sayreville,RFCE,RFC East,North East,653,0.505,NA,NA,1386.0208333333333,NA
SUS00008,1004215,Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,"215 S. Front St., Steelton, PA 17113, United States",Pennsylvania,Steelton,RFCE,RFC East,North East,1000,0.505,NA,NA,2145.5416666666665,NA
SUS00055,1000714,Steel Dynamics Roanoke steel plant,37.272927, -79.998828,"102 Westside Blvd, Roanoke, VA 24017",Virginia,Roanoke,RFCW,RFC West,Southern,660,0.735,NA,NA,2088.6666666666665,NA
SUS00024,1002958,Nucor Steel Hertford plant,36.353006, -76.811471,"1505 River Road, Cofield, North Carolina 27922, United States",North Carolina,Cofield,SRVC,SERC Virginia/Carolina,Southern,1542,0.538,NA,NA,4821.541666666667,NA
SUS00076,1005346,CMC South Carolina steel plant,33.962272, -81.052011,"310 New State Rd., Cayce, SC 29033, United States",South Carolina,Cayce,SRVC,SERC Virginia/Carolina,Southern,776,0.538,NA,NA,2174.3958333333335,NA
SUS00021,1002266,Nucor Steel Berkeley plant,33.004319, -79.880955,"1455 Hagan Avenue, Huger, South Carolina 29450, United States",South Carolina,Huger,SRVC,SERC Virginia/Carolina,Southern,2956,0.538,NA,NA,14509.833333333334,NA
SUS00023,1007946,Nucor Steel Darlington plant,34.375628, -79.895165,"300 Steel Mill Road, Darlington, South Carolina 29540, United States",South Carolina,Darlington,SRVC,SERC Virginia/Carolina,Southern,907,0.538,NA,NA,3732.5625,NA
SUS00063,1001103,Gerdau Cartersville steel plant,34.241226, -84.799539,"384 Old Grassdale Rd NE, Cartersville, GA 30121, United States",Georgia,Cartersville,SRSO,SERC South,Southern,908,0.542,NA,NA,1877.6666666666667,NA
SUS00073,1002216,CMC Steel Florida plant,30.282907, -81.978735,"16770 Rebar Road, Jacksonville, FL 32234, United States",Florida,Jacksonville,FRCC,FRCC All,Southern,949,0.449,NA,NA,2004.875,NA
SUS00048,1000159,U.S. Steel Fairfield plant,33.480697, -86.937854,"5700 Valley Road, Fairfield, Alabama 35064, United States",Alabama,Fairfield,SRSO,SERC South,Southern,1600,0.542,NA,NA,3847.8333333333335,NA
SUS00075,1003981,CMC Alabama steel plant,33.534372, -86.75773,"101 South 50th St., Birmingham, AL 35212, United States",Alabama,Birmingham,SRSO,SERC South,Southern,653,0.542,NA,NA,2313.8333333333335,NA
SUS00033,1003457,Nucor Steel Tuscaloosa plant,33.234761, -87.508498,"1700 Holt Road, Tuscaloosa, Alabama 35404, United States",Alabama,Tuscaloosa,SRSO,SERC South,Southern,1200,0.542,NA,NA,5155.854166666667,NA
SUS00028,1005976,Nucor Steel Decatur plant,34.639630, -87.085738,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",Alabama,Trinity,SRTV,SERC Tennessee Valley,Southern,2268,0.725,NA,NA,10369.166666666666,NA
SUS00016,1005283,SSAB Americas Alabama steel plant,30.941783, -88.012437,"12400 Highway 43 North, Axis, Alabama 36505, United States",Alabama,Axis,SRSO,SERC South,Southern,1250,0.542,NA,NA,6329.645833333333,NA
SUS00037,1010763,Outokumpu Stainless USA steel plant,31.148179, -87.988660,"1 Steel Dr., Calvert, Alabama, 36513-1300, United States",Alabama,Calvert,SRSO,SERC South,Southern,1000,0.542,NA,NA,4316.520833333333,NA
SUS00077,1006906,CMC Tennessee steel plant,35.978104, -83.956572,"1919 Tennessee Avenue, Knoxville, TN 37921, United States",Tennessee,Knoxville,SRTV,SERC Tennessee Valley,Southern,544,0.725,NA,NA,1874.6041666666667,NA
SUS00027,1003093,Nucor Steel Memphis plant,35.048395, -90.163033,"3601 Paul R. Lowry Road, Memphis, Tennessee 38109, United States",Tennessee,Memphis,SRTV,SERC Tennessee Valley,Southern,891,0.725,NA,NA,3180.3333333333335,NA
SUS00020,1005163,BlueScope North Star Steel plant,41.568783, -84.048129,"6767 County Road 9, Delta, Ohio 43515, United States",Ohio,Delta,RFCM,RFC Michigan,Great Lakes,2183,0.744,NA,NA,6314.708333333333,NA
